valid_time,temp_c,rh_pct,wind_speed_km_h,wind_gusts_km_h,wind_dir,wind_az_deg,rain_1hr_mm,pressure_hpa,pressure_trend_3h,hourly_ffmc,hourly_isi,hourly_fwi
2026-05-01 00:00 CST,-2.1,76.0,0.0,0.0,ENE,76,0.0,,,,,
2026-05-01 01:00 CST,-1.9,79.0,0.0,0.0,ENE,70,0.0,,,,,
2026-05-01 02:00 CST,-1.4,81.0,0.0,0.0,E,81,0.0,,,,,
2026-05-01 03:00 CST,-2.3,85.0,0.0,0.0,ESE,111,0.0,,,,,
2026-05-01 04:00 CST,-3.2,87.0,0.0,0.0,ESE,116,0.0,,,,,
2026-05-01 05:00 CST,-3.6,87.0,0.0,0.0,E,81,0.0,,,,,
2026-05-01 06:00 CST,-2.7,88.0,0.0,0.0,E,81,0.0,,,,,
2026-05-01 07:00 CST,0.3,77.0,0.0,0.0,ENE,77,0.0,,,,,
2026-05-01 08:00 CST,4.9,61.0,0.0,0.0,E,93,0.0,,,,,
2026-05-01 09:00 CST,8.8,50.0,0.0,7.0,E,98,0.0,,,,,
2026-05-01 10:00 CST,11.2,43.0,0.0,16.9,SSE,156,0.0,,,,,
2026-05-01 11:00 CST,13.5,35.0,0.0,16.4,SE,139,0.0,,,,,
2026-05-01 12:00 CST,14.4,34.0,10.9,21.5,SE,136,0.0,,,,,
2026-05-01 13:00 CST,16.0,31.0,11.1,21.2,SE,128,0.0,,,,,
2026-05-01 14:00 CST,16.3,31.0,12.6,23.0,SE,132,0.0,,,,,
2026-05-01 15:00 CST,16.9,30.0,9.7,20.0,SE,141,0.0,,,,,
2026-05-01 16:00 CST,15.6,33.0,11.1,20.5,SE,131,0.0,,,,,
2026-05-01 17:00 CST,14.8,34.0,10.4,20.4,ESE,116,0.0,,,,,
2026-05-01 18:00 CST,12.9,39.0,4.9,21.6,ESE,120,0.0,,,,,
2026-05-01 19:00 CST,11.1,45.0,0.0,14.8,E,82,0.0,,,,,
