valid_time,temp_c,rh_pct,wind_speed_km_h,wind_gusts_km_h,wind_dir,wind_az_deg,rain_1hr_mm,pressure_hpa,pressure_trend_3h,hourly_ffmc,hourly_isi,hourly_fwi
2026-01-01 00:00 CST,-24.8,75.0,2.3,8.2,ESE,111,,,,,,
2026-01-01 01:00 CST,-24.6,75.0,1.9,6.5,E,88,,,,,,
2026-01-01 02:00 CST,-24.2,76.0,0.0,5.5,NE,37,,,,,,
2026-01-01 03:00 CST,-23.9,76.0,0.0,3.6,ENE,76,,,,,,
2026-01-01 04:00 CST,-23.7,77.0,1.3,4.3,NW,320,,,,,,
2026-01-01 05:00 CST,-23.4,77.0,0.0,2.2,NW,320,,,,,,
2026-01-01 06:00 CST,-23.2,77.0,2.1,5.5,WNW,303,,,,,,
2026-01-01 07:00 CST,-23.0,78.0,6.6,14.1,NW,321,,,,,,
2026-01-01 08:00 CST,-23.2,77.0,7.5,15.3,NNW,336,,,,,,
2026-01-01 09:00 CST,-23.5,77.0,6.0,14.7,NNW,332,,,,,,
2026-01-01 10:00 CST,-23.5,75.0,6.6,13.7,NW,312,,,,,,
2026-01-01 11:00 CST,-23.0,74.0,5.3,15.1,WNW,302,,,,,,
2026-01-01 12:00 CST,-22.0,73.0,6.2,13.3,NW,310,,,,,,
2026-01-01 13:00 CST,-18.8,67.0,7.7,14.9,NW,313,,,,,,
2026-01-01 14:00 CST,-19.7,69.0,9.4,16.9,NW,311,,,,,,
2026-01-01 15:00 CST,-22.3,75.0,9.2,19.5,NW,308,,,,,,
2026-01-01 16:00 CST,-22.7,75.0,11.1,23.5,NW,314,,,,,,
2026-01-01 17:00 CST,-23.7,76.0,12.7,25.6,NW,310,,,,,,
2026-01-01 18:00 CST,-24.1,76.0,11.2,21.4,WNW,298,,,,,,
2026-01-01 19:00 CST,-24.2,76.0,9.9,25.1,WNW,301,,,,,,
2026-01-01 20:00 CST,-24.6,76.0,10.2,24.2,WNW,300,,,,,,
2026-01-01 21:00 CST,-25.0,75.0,9.2,23.5,WNW,297,,,,,,
2026-01-01 22:00 CST,-25.2,74.0,8.4,17.3,WNW,294,,,,,,
2026-01-01 23:00 CST,-25.4,73.0,8.9,19.5,WNW,291,,,,,,
2026-01-02 00:00 CST,-25.5,73.0,9.2,19.3,WNW,295,,,,,,
2026-01-02 01:00 CST,-25.2,73.0,10.5,20.2,WNW,293,,,,,,
2026-01-02 02:00 CST,-25.3,72.0,9.8,25.2,WNW,287,,,,,,
2026-01-02 03:00 CST,-25.4,72.0,10.7,23.7,WNW,289,,,,,,
2026-01-02 04:00 CST,-24.4,72.0,12.4,24.0,WNW,288,,,,,,
2026-01-02 05:00 CST,-24.2,73.0,11.7,24.1,WNW,298,,,,,,
2026-01-02 06:00 CST,-23.6,72.0,12.4,23.1,WNW,303,,,,,,
2026-01-02 07:00 CST,-22.8,73.0,12.8,24.4,WNW,296,,,,,,
2026-01-02 08:00 CST,-22.4,73.0,13.9,29.0,NW,304,,,,,,
2026-01-02 09:00 CST,-22.1,75.0,16.0,35.6,NW,321,,,,,,
2026-01-02 10:00 CST,-21.3,76.0,12.1,30.5,NW,311,,,,,,
2026-01-02 11:00 CST,-20.0,74.0,9.8,22.4,NW,315,,,,,,
2026-01-02 12:00 CST,-19.9,74.0,7.0,18.4,WNW,297,,,,,,
2026-01-02 13:00 CST,-19.0,75.0,9.6,20.0,NW,318,,,,,,
2026-01-02 14:00 CST,-18.5,76.0,7.7,19.1,WNW,303,,,,,,
