valid_time,temp_c,rh_pct,wind_speed_km_h,wind_gusts_km_h,wind_dir,wind_az_deg,rain_1hr_mm,pressure_hpa,pressure_trend_3h,hourly_ffmc,hourly_isi,hourly_fwi
2026-05-01 00:00 CST,4.9,58.0,10.8,17.2,ENE,62,0.0,944.6,0.3,,,
2026-05-01 01:00 CST,3.9,62.0,10.8,16.7,ENE,63,0.0,944.6,0.2,,,
2026-05-01 02:00 CST,3.3,64.0,10.6,16.1,ENE,62,0.0,944.4,-0.2,,,
2026-05-01 03:00 CST,3.1,65.0,9.3,15.6,ENE,63,0.0,944.2,-0.4,,,
2026-05-01 04:00 CST,1.6,71.0,10.1,15.6,E,93,0.0,944.2,-0.4,,,
2026-05-01 05:00 CST,1.9,67.0,11.0,18.8,ENE,75,0.0,944.1,-0.3,,,
2026-05-01 06:00 CST,1.8,66.0,11.0,24.1,ENE,69,0.0,943.9,-0.3,,,
2026-05-01 07:00 CST,2.0,65.0,11.6,20.8,E,79,0.0,943.9,-0.3,,,
2026-05-01 08:00 CST,5.5,55.0,12.9,20.8,ENE,67,0.0,943.9,-0.2,,,
2026-05-01 09:00 CST,8.4,49.0,12.1,24.4,ENE,69,0.0,943.4,-0.5,,,
2026-05-01 10:00 CST,12.0,39.0,11.5,22.2,ENE,78,0.0,943.3,-0.6,,,
2026-05-01 11:00 CST,13.6,33.0,14.9,25.7,E,88,0.0,942.8,-1.1,,,
2026-05-01 12:00 CST,14.2,33.0,17.6,30.1,E,88,0.0,942.5,-0.9,,,
2026-05-01 13:00 CST,14.6,34.0,15.0,32.3,E,82,0.0,942.2,-1.1,,,
2026-05-01 14:00 CST,16.0,28.0,14.1,26.6,E,88,0.0,941.7,-1.1,,,
2026-05-01 15:00 CST,15.8,30.0,14.7,25.6,E,91,0.0,941.5,-1.0,,,
2026-05-01 16:00 CST,14.1,34.0,12.5,24.4,E,83,0.0,941.0,-1.2,,,
2026-05-01 17:00 CST,13.3,37.0,12.4,22.8,E,87,0.0,940.5,-1.2,,,
2026-05-01 18:00 CST,12.5,39.0,10.2,23.4,E,85,0.0,939.8,-1.7,,,
2026-05-01 19:00 CST,11.2,50.0,12.2,26.8,SE,126,0.0,939.9,-1.1,,,
2026-05-01 20:00 CST,10.4,45.0,8.9,30.3,ENE,78,0.0,939.6,-0.9,,,
2026-05-01 21:00 CST,8.9,50.0,7.9,18.1,W,276,0.0,941.0,1.2,,,
2026-05-01 22:00 CST,8.7,49.0,4.9,15.2,WNW,302,0.0,941.1,1.2,,,
2026-05-01 23:00 CST,7.1,54.0,5.9,16.6,W,279,0.0,941.5,1.9,,,
2026-05-02 00:00 CST,5.8,61.0,7.7,12.6,W,269,0.0,941.9,0.9,,,
2026-05-02 01:00 CST,4.8,66.0,7.2,13.9,W,259,0.0,942.3,1.2,,,
2026-05-02 02:00 CST,4.0,69.0,7.7,11.4,WSW,249,0.0,942.6,1.1,,,
2026-05-02 03:00 CST,2.5,81.0,8.2,14.3,WSW,249,0.0,943.0,1.1,,,
2026-05-02 04:00 CST,2.5,92.0,8.1,13.3,WSW,242,0.0,943.4,1.1,,,
